[DEBUG][2020-02-20 22:08:43,367][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:43,372][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:43,629][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:43,634][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:43,889][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:43,894][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:44,144][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:44,148][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:44,403][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:44,407][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:44,670][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:44,674][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:44,950][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:44,955][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:45,213][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:45,218][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:45,468][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:45,474][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:45,724][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:45,731][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:45,981][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:45,988][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:46,239][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:46,245][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:46,499][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:46,503][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:46,753][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:46,757][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:47,008][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:47,012][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:47,262][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:47,266][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:47,517][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:47,521][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:47,770][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:47,775][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:48,024][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:48,028][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
